id_device,x,y
14637,0.848888178,0.544231164
14638,0.8497984,0.544231164
14639,0.850708622,0.544481982
14640,0.846703644,0.544231164
14641,0.831229867,0.540218076
14642,0.831411911,0.538963989
14643,0.832504178,0.5316903
14644,0.831958044,0.535703365
14645,0.832140089,0.534449281
14646,0.832140089,0.533446015
14647,0.832322133,0.532693566
14648,0.832322133,0.540468894
14649,0.832504178,0.539214806
14650,0.833050311,0.535703365
14651,0.833050311,0.534700098
14652,0.833232356,0.533696832
14653,0.8334144,0.532693566
14654,0.833596444,0.5316903
14655,0.831593956,0.537709902
14656,0.831776,0.536706633
14657,0.832686222,0.538211536
14658,0.832686222,0.53695745
14659,0.882202311,0.535452548
14660,0.881474133,0.535452548
14661,0.880563911,0.535452548
14662,0.879471644,0.535201732
14663,0.878379378,0.535201732
14664,0.875466667,0.534700098
14665,0.874010311,0.534449281
14666,0.872736,0.534449281
14667,0.870551467,0.534198465
14668,0.868184889,0.533947648
14669,0.867092622,0.533696832
14670,0.866000356,0.533696832
14671,0.864908089,0.533446015
14672,0.862177422,0.532442749
14673,0.8612672,0.532442749
14674,0.860174933,0.532191933
14675,0.859082667,0.532191933
14676,0.858354489,0.5316903
14677,0.874556444,0.514634892
14678,0.873100089,0.514634892
14679,0.872007822,0.514384079
14680,0.8710976,0.514384079
14681,0.870005333,0.514133265
14682,0.868731022,0.514133265
14683,0.867456711,0.513882452
14684,0.866728533,0.513631639
14685,0.803195022,0.733861665
14686,0.804287289,0.734112515
14687,0.805197511,0.734363364
14688,0.683227733,0.452434441
14689,0.683227733,0.452936047
14690,0.683045689,0.453437654
14691,0.682863644,0.454190064
14692,0.683045689,0.454691671
14693,0.683227733,0.455193278
14694,0.683591822,0.455945689
14695,0.6859584,0.455945689
14696,0.686504533,0.455694885
14697,0.687232711,0.455193278
14698,0.687414756,0.454691671
14699,0.6875968,0.454190064
14700,0.683409778,0.451932835
14701,0.681771378,0.4566981
14702,0.680861156,0.45393926
14703,0.680861156,0.452936047
14704,0.681225244,0.451932835
14705,0.681407289,0.451180426
14706,0.681953422,0.450177215
14707,0.683045689,0.449424806
14708,0.681407289,0.455694885
14709,0.798825956,0.480273844
14710,0.799736178,0.480273844
14711,0.801010489,0.480524651
14712,0.802102756,0.480524651
14713,0.803195022,0.480524651
14714,0.804833422,0.481026267
14715,0.806107733,0.481277075
14716,0.8072,0.481277075
14717,0.808474311,0.481527883
14718,0.809566578,0.481527883
14719,0.8104768,0.481778691
14720,0.813571556,0.482029499
14721,0.814481778,0.482280307
14722,0.815392,0.482280307
14723,0.816666311,0.482531115
14724,0.817940622,0.482781923
14725,0.819214933,0.483032731
14726,0.8203072,0.483032731
14727,0.821399467,0.483283539
14728,0.822309689,0.483283539
14729,0.823766044,0.483534348
14730,0.825040356,0.483785156
14731,0.825768533,0.484035964
14732,0.8268608,0.483785156
14733,0.827953067,0.484035964
14734,0.816120178,0.496325623
14735,0.8170304,0.496325623
14736,0.817758578,0.496325623
14737,0.819032889,0.496576434
14738,0.819761067,0.496325623
14739,0.821035378,0.496827244
14740,0.8219456,0.496827244
14741,0.823219911,0.497078055
14742,0.824312178,0.497078055
14743,0.8252224,0.497328865
14744,0.814481778,0.496074813
14745,0.813025422,0.495573192
14746,0.811933156,0.495573192
14747,0.811204978,0.495573192
14748,0.829409422,0.497830486
14749,0.829773511,0.497830486
14750,0.841242311,0.499586162
14751,0.842334578,0.499836973
14752,0.843426844,0.500087784
14753,0.844701156,0.500087784
14754,0.845793422,0.500338595
14755,0.835780978,0.506859696
14756,0.835963022,0.505605636
14757,0.835963022,0.504602389
14758,0.836145067,0.503849954
14759,0.798643911,0.511123508
14760,0.770244978,0.507361321
14761,0.784080356,0.509618632
14762,0.764965689,0.506608884
14763,0.785536711,0.509618632
14764,0.766786133,0.507110508
14765,0.7678784,0.507110508
14766,0.796641422,0.510872696
14767,0.769152711,0.507361321
14768,0.787175111,0.509869445
14769,0.797551644,0.511123508
14770,0.795367111,0.510872696
14771,0.790451911,0.510120257
14772,0.788813511,0.510120257
14773,0.792090311,0.510621883
14774,0.799554133,0.511374321
14775,0.782624,0.50936782
14776,0.836327111,0.502345085
14777,0.831776,0.509117007
14778,0.830683733,0.508866195
14779,0.829591467,0.508866195
14780,0.8284992,0.508615382
14781,0.827588978,0.50836457
14782,0.826314667,0.50836457
14783,0.8252224,0.508113757
14784,0.823219911,0.507862945
14785,0.822127644,0.507612133
14786,0.820853333,0.507612133
14787,0.819761067,0.507361321
14788,0.8186688,0.507110508
14789,0.817758578,0.506859696
14790,0.836145067,0.514133265
14791,0.836145067,0.513380826
14792,0.835963022,0.515387333
14793,0.834870756,0.514384079
14794,0.8350528,0.513380826
14795,0.837055289,0.506859696
14796,0.837055289,0.50610726
14797,0.837237333,0.504602389
14798,0.837419378,0.503849954
14799,0.823948089,0.514634892
14800,0.8252224,0.514634892
14801,0.826132622,0.514885706
14802,0.827224889,0.514885706
