timestamp,sp_id,sr_id,sr_type,Trust
0,56,200,1,0.3476190476190476
0,56,256,1,0.3327272727272727
0,56,270,2,0.2785714285714286
0,56,396,2,0.11292307692307693
0,57,1,1,0.33743589743589747
0,57,77,1,0.3476190476190476
0,57,119,1,0.1716
0,57,424,4,0.2785714285714286
0,59,129,1,0.2281904761904762
0,60,129,1,0.22211282051282055
0,60,256,1,0.21781818181818183
0,60,300,2,0.17304
0,61,200,1,0.33743589743589747
0,61,369,2,0.3
0,62,501,14,0.2723076923076923
0,63,31,1,0.21466666666666664
0,63,221,1,0.2752727272727273
0,63,246,1,0.16516363636363635
0,64,90,1,0.161
0,64,160,1,0.1716
0,64,255,1,0.2683333333333333
0,64,341,2,0.3476190476190476
0,64,396,2,0.06326666666666667
0,65,53,1,0.27764102564102566
0,65,77,1,0.2852380952380953
0,65,221,1,0.2202181818181818
0,66,18,1,0.3666666666666667
0,66,129,1,0.22128
0,70,90,1,0.1716
0,70,119,1,0.1240711111111111
0,70,130,1,0.27764102564102566
0,71,179,1,0.11728
0,72,65,1,0.06592355555555555
0,72,77,1,0.27764102564102566
0,72,119,1,0.070276
0,72,197,1,0.21384615384615385
0,73,119,1,0.006220799999999999
0,73,200,1,0.27764102564102566
0,75,129,1,0.3666666666666667
0,75,155,1,0.3
0,76,65,1,0.07764937142857142
0,76,200,1,0.22211282051282055
0,77,65,1,0.08830997333333333
0,77,102,1,0.2683333333333333
0,77,270,2,0.21384615384615385
0,77,409,2,0.3476190476190476
0,77,425,4,0.2785714285714286
0,79,173,1,0.2683333333333333
0,80,409,2,0.3566666666666667
0,81,65,1,0.003981312
0,81,155,1,0.2852380952380953
0,82,107,1,0.32999999999999996
0,83,373,2,0.35
0,84,102,1,0.21781818181818183
0,84,222,1,0.3
0,87,65,1,0.003981312
0,87,246,1,0.18394666666666665
0,90,1,1,0.33533333333333337
0,91,53,1,0.22211282051282055
0,91,65,1,0.003981312
0,91,77,1,0.3666666666666667
0,91,197,1,0.161
0,94,300,2,0.163824
0,97,4,1,0.16714285714285715
0,97,90,1,0.1240711111111111
0,97,155,1,0.2281904761904762
0,97,255,1,0.286
0,98,276,2,0.3666666666666667
0,102,47,1,0.3
0,102,77,1,0.3
0,102,84,1,0.3476190476190476
0,104,479,16,0.3333333333333333
0,105,18,1,0.3
0,108,119,1,0.00373248
0,109,31,1,0.2202181818181818
0,109,119,1,0.00373248
0,109,200,1,0.3666666666666667
0,109,221,1,0.17304
0,109,256,1,0.24382222222222222
